IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
45.142.159.9,9991,TRUE,US:SEA1,US,North America,Seattle,201106,Spartan Host Ltd,148,14.83
23.94.211.148,443,TRUE,US:SEA2,US,North America,Seattle,36352,AS-COLOCROSSING,164,13.68
14.119.112.72,28119,TRUE,US:SEA3,US,North America,Seattle,4134,Chinanet,36,11.77
144.202.91.40,443,TRUE,US:SEA4,US,North America,Seattle,20473,AS-CHOOPA,199,9.66
45.145.74.10,65508,TRUE,US:SEA5,US,North America,Seattle,201106,Spartan Host Ltd,141,9.3
45.150.165.13,443,TRUE,US:SEA6,US,North America,Seattle,201106,Spartan Host Ltd,146,8.98
45.151.133.125,41389,TRUE,US:SEA7,US,North America,Seattle,201106,Spartan Host Ltd,139,7.68
104.36.84.82,443,TRUE,US:SEA8,US,North America,Seattle,400304,REDOUBT-NET,164,7.55
154.40.32.251,50001,TRUE,US:SEA9,US,North America,Seattle,979,NETLAB-SDN,147,7.38
204.110.221.11,80,TRUE,US:SEA10,US,North America,Seattle,16509,AMAZON-02,185,7.22
204.110.220.120,80,TRUE,US:SEA11,US,North America,Seattle,16509,AMAZON-02,184,7.2
204.110.220.202,80,TRUE,US:SEA12,US,North America,Seattle,16509,AMAZON-02,175,7.15
23.94.61.68,2053,TRUE,US:SEA13,US,North America,Seattle,36352,AS-COLOCROSSING,175,7.1
204.110.220.65,80,TRUE,US:SEA14,US,North America,Seattle,16509,AMAZON-02,171,7.02
107.174.242.213,443,TRUE,US:SEA15,US,North America,Seattle,36352,AS-COLOCROSSING,168,6.97
104.168.146.122,443,TRUE,US:SEA16,US,North America,Seattle,54290,HOSTWINDS,183,6.96
54.213.214.160,443,TRUE,US:SEA17,US,North America,Seattle,16509,AMAZON-02,187,6.9
204.110.220.166,80,TRUE,US:SEA18,US,North America,Seattle,16509,AMAZON-02,186,6.84
38.175.202.72,443,TRUE,US:SEA19,US,North America,Seattle,400304,REDOUBT-NET,172,6.84
23.94.61.68,2053,TRUE,US:SEA20,US,North America,Seattle,36352,AS-COLOCROSSING,186,6.78
192.3.253.194,28443,TRUE,US:SEA21,US,North America,Seattle,36352,AS-COLOCROSSING,179,6.77
45.150.164.179,10369,TRUE,US:SEA22,US,North America,Seattle,201106,Spartan Host Ltd,174,6.72
18.236.13.188,80,TRUE,US:SEA23,US,North America,Seattle,16509,AMAZON-02,189,6.72
20.3.253.61,12300,TRUE,US:SEA24,US,North America,Seattle,8075,MICROSOFT-CORP-MSN-AS-BLOCK,195,6.72
204.110.220.65,80,TRUE,US:SEA25,US,North America,Seattle,16509,AMAZON-02,183,6.6
107.174.246.203,36501,TRUE,US:SEA26,US,North America,Seattle,36352,AS-COLOCROSSING,209,6.36
192.3.253.194,28443,TRUE,US:SEA27,US,North America,Seattle,36352,AS-COLOCROSSING,185,6.31
66.42.72.67,443,TRUE,US:SEA28,US,North America,Seattle,20473,AS-CHOOPA,187,6.19
38.175.195.223,50001,TRUE,US:SEA29,US,North America,Seattle,400304,REDOUBT-NET,161,6.16
204.110.221.107,80,TRUE,US:SEA30,US,North America,Seattle,16509,AMAZON-02,190,6.1
34.209.4.175,80,TRUE,US:SEA31,US,North America,Seattle,16509,AMAZON-02,191,6.08
62.146.172.119,443,TRUE,US:SEA32,US,North America,Seattle,40021,NL-811-40021,192,6.03
204.110.220.120,80,TRUE,US:SEA33,US,North America,Seattle,16509,AMAZON-02,178,5.93
144.202.86.226,8888,TRUE,US:SEA34,US,North America,Seattle,20473,AS-CHOOPA,181,5.91
204.110.220.139,80,TRUE,US:SEA35,US,North America,Seattle,16509,AMAZON-02,182,5.83
204.110.221.11,80,TRUE,US:SEA36,US,North America,Seattle,16509,AMAZON-02,180,5.77
204.110.220.71,80,TRUE,US:SEA37,US,North America,Seattle,16509,AMAZON-02,192,5.11
54.203.85.46,443,TRUE,US:SEA38,US,North America,Seattle,16509,AMAZON-02,196,5.09
96.8.121.81,443,TRUE,US:SEA39,US,North America,Seattle,36352,AS-COLOCROSSING,195,4.93
23.95.18.12,18443,TRUE,US:SEA40,US,North America,Seattle,36352,AS-COLOCROSSING,187,4.55
204.110.221.177,80,TRUE,US:SEA41,US,North America,Seattle,16509,AMAZON-02,174,4.42
23.94.43.102,8080,TRUE,US:SEA42,US,North America,Seattle,36352,AS-COLOCROSSING,175,4.41
45.154.214.190,12321,TRUE,US:SEA43,US,North America,Seattle,201106,Spartan Host Ltd,156,4.28
204.110.220.17,80,TRUE,US:SEA44,US,North America,Seattle,16509,AMAZON-02,200,4.28
204.110.220.74,80,TRUE,US:SEA45,US,North America,Seattle,16509,AMAZON-02,206,4.25
45.42.141.183,443,TRUE,US:SEA46,US,North America,Seattle,21743,ANL-36,161,3.83
63.223.91.29,443,TRUE,US:SEA47,US,North America,Seattle,19194,JOVITA,174,3.81
144.202.86.226,21322,TRUE,US:SEA48,US,North America,Seattle,20473,AS-CHOOPA,179,3.8
206.206.123.147,443,TRUE,US:SEA49,US,North America,Seattle,212238,Datacamp Limited,201,3.51
38.175.203.252,443,TRUE,US:SEA50,US,North America,Seattle,400304,REDOUBT-NET,166,3.46
104.168.83.207,443,TRUE,US:SEA51,US,North America,Seattle,36352,AS-COLOCROSSING,174,2.88
54.203.85.46,443,TRUE,US:SEA52,US,North America,Seattle,16509,AMAZON-02,192,2.84
35.167.93.200,443,TRUE,US:SEA53,US,North America,Seattle,16509,AMAZON-02,177,2.7
23.94.43.51,443,TRUE,US:SEA54,US,North America,Seattle,36352,AS-COLOCROSSING,176,2.59
38.175.203.109,443,TRUE,US:SEA55,US,North America,Seattle,400304,REDOUBT-NET,175,2.53
38.175.195.197,443,TRUE,US:SEA56,US,North America,Seattle,400304,REDOUBT-NET,196,2.03
204.110.220.254,80,TRUE,US:SEA57,US,North America,Seattle,16509,AMAZON-02,176,1.97
137.220.34.134,8443,TRUE,US:SEA58,US,North America,Seattle,20473,AS-CHOOPA,155,1.96
